fraud_label,transaction_count,account_balance,transaction_frequency_sent,transaction_frequency_received,unique_contacts_sent,unique_contacts_received,avg_value_sent,avg_value_received,total_ether_sent,total_ether_received,contract_creation
0,810.0,-7.434723237039977,844.26,1093.71,46,38,1.200681,6.589513,277.49583999456047,320.79086236720264,0
0,102.0,-0.001818811,12709.07,2958.44,14,5,0.032844,0.385685,3.08729702,3.085478209,0
0,12.0,0.000441,246194.54,2434.02,2,10,1.7943080000000002,0.358906,3.58861565,3.58905665,0
0,34.0,-7.434723237039977,10219.6,15785.09,13,7,33.666149,50.5,277.49583999456047,320.79086236720264,0
0,1235.2000000000044,-7.434723237039977,36.61,10707.77,19,7,0.022688,2.671095,104.3188828,53.4218965,1
0,5.0,0.001008,9900.12,375.48,1,2,4.851858,3.2349080000000003,9.70371586,9.70472386,0
0,36.0,0.016871896,69.46,629.44,20,9,0.482496,1.098115,12.0623941,12.079266,0
0,218.0,-4.2479024160000005,1497.39,176.84,3,3,0.040861,0.891098,8.703392156,4.45548974,0
0,2.0,0.00062,0.0,0.0,1,1,1.99938,2.0,1.99938,2.0,0
0,11.0,-7.434723237039977,2570.59,3336.01,4,2,18.634625,16.7,149.077,50.1,0
0,20.0,0.007636018,32.45,12921.57,1,2,1.004055,1.004819,10.04055439,10.04819041,0
0,254.0,0.004047714,3716.41,1448.09,3,4,33.666149,3.381313,277.49583999456047,320.79086236720264,0
0,17.0,11.245396467673102,0.0,12431.27,0,4,0.0,0.769166,0.0,12.30665958,1
0,9.0,0.097217423,9520.7,5776.32,4,2,0.037563,0.180079,0.262941117,0.36015854,0
0,56.0,-7.434723237039977,14106.66,3742.82,21,11,33.666149,50.5,277.49583999456047,320.79086236720264,0
0,38.0,0.086741405,757.91,11.08,13,3,0.044268,0.530615,1.5051029580000002,1.591844363,1
0,114.0,0.023940002,3.13,4923.24,2,2,0.203593,0.204013,11.6048114,11.6287514,0
0,37.0,-7.434723237039977,27681.45,11171.03,15,6,9.896423,16.564688,257.307,182.2115661,0
0,5.0,0.001323,770.29,3.82,3,1,9.255226,13.8835,27.765677,27.767,0
0,4.0,0.001026218,163.78,1.11,2,2,33.666149,50.5,100.9989738,101.0,0
0,19.0,11.245396467673102,0.0,6324.45,0,5,0.0,5.662421,0.0,101.9235724,1
0,14.0,-7.434723237039977,725.77,41108.66,3,4,22.441764000000006,8.407243,157.09235049999995,58.85070376,0
0,9.0,0.002245057,91.14,64.3,5,4,1.749551,2.1875,8.747754943,8.75,0
0,134.0,11.245396467673102,2477.34,6928.28,2,1,1.2625,0.342666,10.1,43.17587621,0
0,18.0,11.245396467673102,0.0,13339.9,0,6,0.0,4.860215,0.0,82.62366163,1
0,2.0,0.00126,0.0,0.0,1,1,4.99774,4.999,4.99774,4.999,0
0,85.0,-7.434723237039977,1797.42,60933.08,7,3,0.760256,11.666667,62.341,35.0,0
0,2.0,0.00126,0.0,0.0,1,1,0.546389,0.5476489999999999,0.54638892,0.54764892,0
0,7.0,-3.882478376,155.22,112602.93,3,3,2.104909,1.512385,8.419634776,4.5371564000000015,0
0,73.0,-7.434723237039977,14626.26,6594.93,34,7,33.666149,50.5,277.49583999456047,320.79086236720264,0
0,54.0,11.245396467673102,0.0,5498.63,0,4,0.0,0.504895,0.0,26.75944516,1
0,21.0,0.00761642,3.33,51068.75,1,8,5.621492,5.11114,56.21491815,56.22253457,0
0,3.0,1.74798122,1128.56,0.0,2,1,0.0,1.7479810000000002,0.0,1.74798122,0
0,12.0,0.039265736,2152.95,680.22,6,1,0.011073,0.075,0.110734264,0.15,0
0,695.0,11.245396467673102,0.0,648.26,0,4,0.0,1.618731,0.0,320.79086236720264,1
0,1235.2000000000044,-7.434723237039977,45.91,58.88,46,38,33.666149,50.5,277.49583999456047,320.79086236720264,0
0,2.0,0.003,0.0,0.0,1,1,0.0,0.0032224,0.0,0.011052,0
0,1235.2000000000044,0.03299662,1067.84,128.81,4,1,33.666149,1.055731,277.49583999456047,320.79086236720264,0
0,7.0,-5.467189299999999,1051.87,85496.6,3,2,3.683667,1.395953,11.050999999999998,5.583810700000001,0
0,1235.2000000000044,11.245396467673102,2.12,0.92,2,3,0.0,11.0,0.0,44.0,1
0,12.0,0.952613114,17441.04,1245.91,4,2,6.226376,18.996667,56.03738689,56.99,0
0,21.0,-7.434723237039977,45561.42,26284.49,5,7,20.32769200000001,21.925,264.26,175.4,0
0,9.0,-7.434723237039977,379.78,56424.63,1,6,4.5,0.888941,13.5,5.333648999999999,0
0,39.0,-7.434723237039977,1478.05,51541.26,11,3,2.307983,9.803306,76.16345259,58.81983438,0
0,3.0,0.001026218,164.22,0.0,2,1,33.666149,50.5,100.9989738,101.0,0
0,12.0,0.003489099,1790.44,450.56,2,5,2.614933,2.615514,15.68959511,15.69308421,0
0,5.0,-6.9114960000000005,803.95,112925.21,2,2,6.955748,2.333333,13.911496,7.0,0
0,15.0,-1.6564050330000002,18649.44,15420.31,6,3,0.759219,1.67375,8.351405032999999,6.695,0
0,1235.2000000000044,-7.434723237039977,65.85,32.24,46,38,15.276167,18.736369,277.49583999456047,320.79086236720264,0
0,17.0,-7.434723237039977,181.7,56819.72,7,5,33.666149,50.5,277.49583999456047,315.425,0
0,48.0,-7.434723237039977,23359.72,27049.27,23,6,33.666149,50.5,277.49583999456047,320.79086236720264,0
0,9.0,-7.434723237039977,20827.93,0.0,2,1,12.688992,10.0,101.5119377,10.0,0
0,321.0,-7.434723237039977,4183.18,1470.01,46,38,3.288313,4.007761,277.49583999456047,320.79086236720264,0
0,58.0,-7.434723237039977,1969.46,288.59,13,4,6.758479,25.810391,277.49583999456047,258.1039104,0
0,1235.2000000000044,-7.434723237039977,76.32,74.96,46,38,33.666149,21.959042,277.49583999456047,320.79086236720264,1
0,12.0,0.002762225,26.01,82.8,1,5,1.047197,1.047658,6.283183805,6.28594603,0
0,6.0,0.0013463879999999,8174.66,3.43,1,1,0.146551,0.147,0.439653612,0.441,0
0,7.0,0.00536902,628.48,672.28,4,2,1.3723459999999998,3.433549,6.86172829,6.86709731,0
0,2.0,0.00105,0.0,0.0,1,1,0.8538209999999999,0.8548709999999999,0.85382138,0.85487138,0
0,2.0,0.00042,0.0,0.0,1,1,0.134569,0.134989,0.13456893,0.13498893,0
0,34.0,0.05797088,22.94,14237.49,1,1,0.047446,0.050856,0.80657981,0.86455069,0
0,15.0,11.245396467673102,7750.02,59605.36,5,2,1.013286,6.1445940000000006,7.093,49.1567487,0
0,35.0,0.090278633,621.07,5012.75,10,9,33.666149,39.759632,277.49583999456047,320.79086236720264,1
0,17.0,-1.622766947,13243.1,38530.77,6,5,0.421015,0.270796,3.789138127,2.16637118,0
0,1054.0,11.245396467673102,5815.7,845.41,30,1,6.696126,0.24501,200.883777,250.89045640000003,0
0,130.0,-3.670073533,1905.13,728.9,8,4,0.647486,12.769696,80.28824888,76.61817535,0
0,6.0,0.001907957,24.63,3319.39,1,3,5.281031,5.281667,15.84309204,15.845,0
0,9.0,0.0048509999999999,59.56,24076.63,2,2,0.21567,0.173506,0.86268094,0.86753194,0
