transaction_count,account_balance,transaction_frequency_sent,transaction_frequency_received,unique_contacts_sent,unique_contacts_received,avg_value_sent,avg_value_received,total_ether_sent,total_ether_received,contract_creation,fraud_label
102,-0.001818811,12709.07,2958.44,14,5,0.032844,0.385685,3.08729702,3.085478209,0,0
12,0.000441,246194.54,2434.02,2,10,1.7943080000000002,0.358906,3.58861565,3.58905665,0,0
2,0.00062,0.0,0.0,1,1,1.99938,2.0,1.99938,2.0,0,0
9,0.097217423,9520.7,5776.32,4,2,0.037563,0.180079,0.262941117,0.36015854,0,0
2,0.00126,0.0,0.0,1,1,0.546389,0.5476489999999999,0.54638892,0.54764892,0,0
12,0.039265736,2152.95,680.22,6,1,0.011073,0.075,0.110734264,0.15,0,0
2,0.003,0.0,0.0,1,1,0.0,0.003,0.0,0.003,0,0
6,0.0013463879999999,8174.66,3.43,1,1,0.146551,0.147,0.439653612,0.441,0,0
2,0.00105,0.0,0.0,1,1,0.8538209999999999,0.8548709999999999,0.85382138,0.85487138,0,0
2,0.00042,0.0,0.0,1,1,0.134569,0.134989,0.13456893,0.13498893,0,0
34,0.05797088,22.94,14237.49,1,1,0.047446,0.050856,0.80657981,0.86455069,0,0
9,0.0048509999999999,59.56,24076.63,2,2,0.21567,0.173506,0.86268094,0.86753194,0,0
2,0.0022,0.0,0.0,1,1,0.447277,0.4494770000000001,0.44727692,0.44947692,0,0
2,0.00062,0.0,0.0,1,1,0.8669899999999999,0.86761,0.8669901309999999,0.867610131,0,0
2,0.00325311,0.0,0.0,1,1,0.996747,1.0,0.99674689,1.0,0,0
5,-0.00776788,193.0,0.0,2,1,0.099442,0.39,0.39776788,0.39,0,0
2,0.00126,0.0,0.0,1,1,0.7316159999999999,0.732876,0.7316159999999999,0.732876,0,0
2,0.00062,0.0,0.0,1,1,2.74938,2.75,2.74938,2.75,0,0
2,0.000441,0.0,0.0,1,1,0.999559,1.0,0.999559,1.0,0,0
4,0.000840005,3.54,3346.38,1,2,0.6007170000000001,0.601137,1.20143483,1.202274835,0,0
2,0.000504,0.0,0.0,1,1,2.394006,2.39451,2.39400649,2.39451049,0,0
2,0.00084,0.0,0.0,1,1,0.7064,0.70724,0.70640002,0.70724002,0,0
15,0.03532431,2411.88,84822.03,6,3,0.112727,0.31883,1.23999768,1.27532199,0,0
39,0.01058002,484.97,13360.06,21,13,0.203076,0.263426,4.46766152,4.47824154,0,0
2,0.015,0.0,0.0,1,1,1.358735,1.373735,1.358735,1.373735,0,0
39,0.00504,2516.11,10216.0,11,9,0.201136,0.089581,2.41363522,2.41867522,0,0
2,0.00062,0.0,0.0,1,1,0.29938,0.3,0.29938,0.3,0,0
2,0.000471636,0.0,0.0,1,1,1.465969,1.466441,1.465969144,1.46644078,0,0
2,0.000441,0.0,0.0,1,1,0.999559,1.0,0.999559,1.0,0,0
82,0.01722,7.4,1945.73,1,1,0.107767,0.108187,4.41843538,4.43565538,0,0
5,0.00224945,5.71,5707.63,1,3,2.697775,1.799266,5.39554933,5.39779878,0,0
2,0.000504,0.0,0.0,1,1,0.225055,0.225559,0.22505522,0.22555922,0,0
2,0.00062,0.0,0.0,1,1,0.380555,0.381175,0.380555036,0.381175036,0,0
2,0.0022,0.0,0.0,1,1,1.114553,1.116753,1.11455294,1.11675294,0,0
1624,0.0,0.0,191.0,0,1,0.0,0.0,0.0,0.0,0,0
2,0.000581532,0.0,0.0,1,1,0.009418,0.01,0.009418468,0.01,0,0
2,0.000921794,0.0,0.0,1,1,0.179795,0.180717,0.179795396,0.18071719,0,0
2,0.000504,0.0,0.0,1,1,2.199496,2.2,2.199496,2.2,0,0
85,0.017661,329.02,1898.84,2,1,0.108894,0.106772,4.57354835,4.59120935,0,0
70,0.016355725,11.52,8965.07,1,1,0.047499,0.047967,1.662474332,1.678830057,0,0
